answer_id	essay_id	essay_set	prompt_id	answer
1	20716	8	3	"A long time ago when I was in third grade, I had a close friend named @PERSON2. His mom was always in a bad mood. She never laughed and she never smiled. Every time I saw her, I would warmly smile at her, but all she would do was frown and keep walking quickly. At first, I didn't know she was a grouch. I just naively thought she didn't like me or something. When @PERSON2 told me his mom was a grouch, I started to laugh out loud and couldn't stop. He asked me what was so funny. I told him that I thought his mom didn't like me because every time I saw his mom, I would smile at her, and all she would do was frown and walk away briskly. That made my friend laugh too. We were cracking up so hard that we got in trouble in class for disturbing the quiet. The next day, @PERSON2 and I were having lunch at school. He suddenly said to me, ""<hey your pretty good at making people laugh>"". I replied, ""<no I am not my jokes are really horrible>"". He said, ""<@CAPS1 lets put them to the test go up to some one new to this school>"". I said @CAPS1. So we went around the whole school, searching everywhere for a new student. Unfortunately, we couldn't find one. Just then, we heard the bell ring and we quickly ran to our class. We sat in the back of the classroom. It was only @PERSON2 and I, with an empty seat between us. We were really excited because our teacher @PERSON1 was going to show us a movie. @PERSON1 walked to the front of the room and said, ""class today I have an announcement. We have a new student in our class. Say hello to @LOCATION1."" @ORGANIZATION1 walked through the door gracefully. @PERSON1 told @ORGANIZATION1 she could sit in the back in between @PERSON2 and I. She sat down, turned to the both of us, and politely said hello. @PERSON2 gave me a look that clearly said ""tell her the joke"", and I gave him a thumbs up. I turned to @LOCATION1 and said, ""hi I'm @CAPS4. Do you want to hear a joke?"" @ORGANIZATION1 said, ""yeah sure."" I started, ""<@CAPS5 knocks"". She said, ""<who's there"". I said, ""<boo"". She said, ""<boo who?"" I said, ""<oh don't cry I am right here>"". At first, she didn't laugh because she didn't get it. But during the middle of the movie, she said, ""<ohhhh I get it"" and she started to laugh heartily. @PERSON2 turned to me and said, ""<I told you so>"". @PERSON2 got this crazy idea that if I spent the night at his house, I could make his mom laugh or at least make her smile. I said, ""<@CAPS1 sounds like a great plan>"". I asked my mom if it was okay if I could spend the night at @PERSON2's house. She said, ""<yeah just make sure it's okay with his mom>"". @PERSON2 asked his mom, and she said it was okay. When I got to @PERSON2's house, the first thing we did was play exciting video games. When it was dinner time, we all sat down at the table to eat. @PERSON2 and I were on one side, and his parents were on the other. When we started eating, @PERSON2 told me to tell the joke to his parents. I said @CAPS1. So I said to them, ""<@CAPS5 @CAPS5>"". They replied, ""<who's there"". I said, ""<boo"". They said, ""<boo who?"" I said, ""<oh don't cry I am right here>"". His parents started to laugh and laugh and they kept laughing for like five minutes straight. @PERSON2 turned to me and yelled, ""it worked!"" His mom asked what worked. @PERSON2 explained everything to them. His mom told us that her mom had recently died and that's why she was in a bad mood. After dinner, we went to bed and fell asleep peacefully. The next morning, when my mom came to pick me up, she asked me how the sleep over went. I said it was really fun. I made people laugh. She said @CAPS1, but laughter isn't going to help you clean your room. All I could say was, ""gosh darn it."" FIN."
2	20717	8	3	"Softball has to be one of the single most greatest sports in existence. Playing softball in college has always been a long - held goal of mine. I love the feeling of the dirt that sticks stubbornly to your face, the sweat steadily dripping from your forehead, and the gallons and gallons of water you pour all over yourself to keep cool in the blistering @CAPS2 heat. Although I love softball, I feel that the memories you acquire from the times you have with your teammates are the things you remember the most throughout your softball career. I have always had great memories through softball, with many laughs, tears, and frustrations. So when I had the opportunity to play on a top - notch team, I eagerly looked forward to all the many more memories I would create. Hood @CAPS1 @CAPS2 was my team name. I had played almost four years with this local team. Many of these girls were like real sisters to me. They had treated me amazingly throughout my years playing with them. I felt like I had my set team. I was going to play with these girls all through high school, and we would become even closer, sharing more inside jokes and bonding moments. As my fifth year now approached, I was looking forward to it. But when my dad came up with the idea that maybe I play for a team not as local, that idea was also very enticing. I now faced a big dilemma. Either stay with the team I knew so well and continue to play with them until high school ended, enjoying the familiar camaraderie; or play with a team I knew nothing about, play with girls that might not like me, girls that were so much better than me and might look down upon me. As I carefully looked at the pros and cons of both teams, I initially decided no. I would stay with the team that I knew so well and I would stay comfortable at where I was at. At that point, softball season was just around the corner, and I began to reanalyze everything. Did I really want to stay and be comfortable? Or maybe challenge myself to become a better player? Maybe I could work hard enough, and have college scouts take a good look at me and hopefully have me play for them later. I then decided I would take a chance and try for this team. As my dad and I drove to the field where I would try out for this team, my stomach was in tight knots. I desperately wanted this team to like me. I was playing all the possible ways in my head I could greet them so I didn't sound snobby or a grump. The time moved quickly, and I wished it would slow down. My heart felt like it was beating a million times per second. I was so nervous that my mouth began to feel sticky and have an odd, unpleasant taste to it. Soon after, my mouth became bone dry, no taste, no flavor, just a sticky mess. The car then stopped. My dad looked at me and just said, ""ready or not here we come"". Nervousness began to take over my body. My arms were shaking uncontrollably, and I was second - guessing every move I made. I even had troubles removing my seat belt. As I approached the field, it felt like time was in slow motion. Walking by, I saw all the girls turn their heads to see what new fresh meat had arrived. My first thought was to run. That was it. I didn't want to go. I was done. I wanted to go home and start my year with the @CAPS2 team. I just couldn't take it. Then as I walked onto the field, they all grew a warm smile. Each and everyone of them told me their names, their favorite color, and a small fun fact about themselves. I found myself laughing throughout my whole try - out. There were no awkward moments, and I really enjoyed my time there. I couldn't wait to go back. I now had made new friends, friends I knew I would grow close with over time. My year with this team was amazing. I have friendships with these girls that I never would have discovered if I hadn't gone. Those girls are like family, and the coaches even more so. Laughter played a very big role in the decision I made to play with this team. If I had just gone and tried out, and had I not had fun and laughed, I would have decided to play with the @CAPS2. I have had great memories with the @CAPS2, but also softball is all about going out, discovering new friendships, and therefore, enjoying the sport as well as the people."
3	20718	8	3	"Some people like making people laugh, but I absolutely love it. I will do most anything to get a good, hearty laugh. I will make fun of myself in a self - deprecating way, do insanely stupid things that make me look silly, and sometimes even hurt myself (not in any serious way). When I was little, I didn't really understand laughter. For some odd reason, I could never tell the difference if people were laughing at something or laughing with it. I was kind of ""special"" in some areas as a kid (I still am today). Still, at the tender age of five, I loved making people laugh. And being ""special"", I would do even crazier things for a laugh. Mind you, I was kind of a spaz, and a really big spaz at that. I was the most hyperactive five - year - old you will ever meet. For example, one time I accidentally hit myself in the head with a hammer while trying to be helpful. Another time, I was dancing around in class with a pencil in my hand, and in my wild movements, I stabbed myself in the head with it and needed stitches. One of the craziest times though was a couple days before I had to take pictures. I really wanted to go play outside. My mom, knowing how ""special"" I was (I got it from her), wouldn't allow me to. The expert persuasive kid I was back then convinced her to let me go outside. Before I could even reach the street, I tripped and fell head first onto the corner of the sidewalk, leaving a huge mark on my face and completely ruining the pictures. Although that might make some people laugh, this is a story about laughter, not me being a spaz. Now that you know that I love making people laugh, I'm ""special"", and that I'm a complete spaz, I can get on with the story. Well, I was in kindergarten, and I loved school because I got to hang out with my friends and play with blocks. That might sound stupid, but I was in kindergarten. The only thing I didn't like about kindergarten was bullies. Surprisingly, I have never had a bully except in kindergarten, but this was a really bad bully. He would give me wedgies at story time, which was the best time to do so because the teacher couldn't see. I still know the bully too, but he's no bully anymore. He's a goody two - shoes now, which I think is odd. Anyways, kindergarten was a very good year for me except one day (and every day I got a wedgie). That day is what this whole story is about. It's why I told you I love making people laugh, why I told you I'm ""special"", and a spaz. Everything in the story circles around this one day, *dramatic pause* in kindergarten. It started out like any other normal day in kindergarten. I woke up, did my daily routine like brushing my teeth and getting dressed, hopped in the car, and headed to school. When I got to school, I grabbed my daily binder and patted the education sign like a mall cop would pat the observe and report sign. I did all my work and colored (which was basically all my work). It came around break, so we ran around the playground and got our little snack. When we finished getting the last few drops out of our juice boxes, we headed over to story time. We were all in the little circle (which was more like a deformed oval) listening to the story. Right when I would get into the story and lose my guard, I would receive an excruciatingly painful (for a five - year - old) wedgie. The story was almost finished, and our five - year - old attention spans were wearing thin. We were getting all excited. The story finally finished, and we were standing up. And this is where my memory starts to fade. I cracked a really funny joke, and the whole kindergarten class erupted into laughter. Me being a ""special"" spaz that can't tell if people are laughing at me or with me, I burst into tears. I remember balling my eyes out at the drinking fountain, trying hard to hide my tears. One of the teachers tried to help me by telling me that they were laughing at my joke. It took me a couple minutes to stop crying, but a little longer to realize they were not laughing at me. To this day, I still get reminded by classmates about that day. Of course, I can laugh about it now, but that was in kindergarten. I'm in ninth grade now, and for people to remember that is kind of crazy to me. It was a negative experience then, but it turned into a blessing in disguise. It made me grow into a better person. I can tell the difference of laughter and also be okay when people do laugh at me (doing dumb things to make people laugh at me is actually my forte"
4	20719	8	3	"LAUGHTER""  @CAPS1 I hang out with my friends, the one thing we do best is laugh sometimes for no reason. The thing we tend to laugh about is running into trash cans, laundry or maybe even about what we ate for dinner the @TIME1 before. @CAPS1 I am usual stressed out the one thing I love is to hangout with my friends. they usual are good listeners. overall. Though they take your mind off things. So with my friends you can count on having a great time no matter what the occasion is.    @CAPS1 I say trash can I really mean trash cans I remember this one time in the hall way at school my friend was hanging on to my back pack because she tends to loose me in the hall way a lot because I walk a lot faster then her, anyways the class bell had just rouge an all the student were heading to lunch we were. I was just getting ready to cross the hall way an she said don't do it, so I did an nobody stopped! so she kinda slide into a trash can that was hanging on the wall in the hall way, she @MONTH1 have knocked it off but I can't really say? I was still walking an the sound effects were so funny I laugh at it still.       My friend an I have a inside joke? we went out to lunch together. @CAPS1 we saw a laundry mate an I minds went crazy, we made up a funny joke an said that we should make our self's aprons with lots color and rhinestones, so that way if we wanted to get all of our laundry done at the same time. We would take off our clothes there an put on our so called aprons. An do our laundry like it was nothing. @CAPS1 our laundry was done we said that we could pick out a new outfit because all of r close would be clean. yes we are weird but that is what makes us laugh more then anything is being silly an making up story just like that one.  Now about the food its sort of like the laundry but I guess better? I remember @CAPS1 i came to school the next day i just started talking about what i had for dinner @TIME1 i think at that time my mom had asked us if we wanted chicken @PERSON1 an my sister as i screamed an said hell yeah? so dinner was ready an @CAPS1 we went to go site at the table we looked at it an it was not what we expected it to be? it was frozen out of a box an it looked like somebody had eaten the food than puked it back up? it was that great looking.    All of these thing that have named or talked about is how my life is almost everyday @CAPS1 there not drama i love my friend I don't think I could have asked for a better one because all we do is laugh an have fun an fun in to trash can locker an whatever else there is but the one thing that matter the most with my one friend is that @CAPS1 we get in to a fight we can not stay mad at each other well I now that I can't. So at the end of the day I ask her are we done being made at each other? an than we just look at each other an laugh because that about all we can do because the reason was so stupid there was really no need for it.that is what a friend is to me having fun not worrying about what is around us. but just to have fun an be silly. not anybody else but are self's an sometime @CAPS1 we have are really goofy days? we make up the story about our laundry. talking about my life with my friends is nothing better than to laugh because deep down inside you an your friend will look back an say wow those where the best day was @CAPS1-would would get in trouble in class for talking way to much.    "
5	20721	8	3	Well ima tell a story about the time i got @CAPS3 down town. When i was heading down town to go meet some body it was cold,dark and just creepy. So on my way there i thought i went to far so i got the bus and was like were am i? I was counfused and like what the heck. Then i ask some one were am i at, the man said your down town i said i know just never mind i walked away kind mad like ugh. So i just called thenm and see were she was at the phone rings then she pick up. Were are you i said, she said down tonw i was like oh my gosh i know but never mind she was like were you at then i said some were in down town. Then she said stupid @CAPS2 on the bus and come down more so i waited for like @NUM1 then the bus comes and i was glad. Then i called her sayin im on the bus on the way she said okay @CAPS1 @CAPS2 @CAPS3 she said i was laughing and said okay i wont. When i @CAPS2 there they laughed at me and i was just like thats not funny i coulda got snacked or raped or it coulda been even more bad. Well thats what you @CAPS2 they said i was like yea yea i know whatever lol. Later that night was like i wont some candy so they showed me ow to @CAPS2 to the store is at so i was like ima go and the last words i heard i heard was @CAPS1 @CAPS2 @CAPS3! i smiled. Well on my way to the store i was cold and listing to music then i @CAPS2 to the store and look around then my phone rings. Hello i said it was that girl she said i just wonted to make shure your not @CAPS3 i said i got this im not gonna @CAPS2 @CAPS3. @NUM2 mins laster im walking out and was looking around like were am i?? i was like oh no not this again i just started to walk the way i came from and didnt see the hose so i went the othere way and i was like gosh im @CAPS3 again? yeah i am. so i didnt wont her to know i was @CAPS3 so i didnt call her and tried to find my own way back but i couldnt so i just tried to think then @NUM3 mins went by she callled. Sooo... darrio she said i answer whats hannin she said you @CAPS3 huh? i laughed no why you say that i asked she was like im looking at you and your going the wrong way i looked back and started to laugh. She came up to me and said you was @CAPS3 i said no i was just getting some air she was like yeah okay darrio you was with a smile i was thinking lke next time ima ask her to come with me i smiled. When we got to her house they laughed again and i just said okay i got @CAPS3 and we all laughed for like @NUM4 mins then just chill. Then i was like its hot in here then i open the wendow they said its cold so i was like okay i closed the window back and went out side for a min. My phone rings i pick up the girl said @CAPS1 @CAPS2 @CAPS3 i was like shut up im not im on the front porch she said soo... your slow you might @CAPS2 @CAPS3 still i laughed and hung up and went in said and we all laughed. Then that hole night was about me getting losted and not know were i was going and yeah thats it.
6	20722	8	3	"@CAPS3 I'm going to tell @CAPS18 a little story. I vividly remember a time when @CAPS11 cousin @PERSON1 and I decided to make a snowman at @CAPS11 cozy house in @LOCATION1, @LOCATION2. The snow was freshly fallen, creating a beautiful winter wonderland. I turned to him and said, ""I'm bored. @CAPS1, do @CAPS18 want to do something?"" @PERSON1 quickly replied, ""@CAPS2, go make a snowman."" I whole - heartedly agreed that that would be a fun activity. @CAPS34 started reaching for a warm jacket and gloves, but I stopped him and asked, ""@CAPS1, are @CAPS18 getting those for? @CAPS5's not cold @CAPS20."" ""@CAPS6,"" replied @PERSON1. ""@CAPS33't say I didn't warn @CAPS18.""   We started our snowman by building the base, which is the biggest piece for the bottom. After about @NUM1 minutes, the base was almost done, but we began to notice that the cold was seeping through our clothes. ""@CAPS7, we should go inside?"" @PERSON1 suggested. ""@CAPS8, I bet @CAPS7 mom will even make us some hot chocolate."" So off we went back inside, eagerly hoping for some delectably warm hot chocolate.   I saw @CAPS11 mom and politely asked, ""@CAPS10, we have some hot chocolate please?"" ""@CAPS11, @CAPS18 look cold. Of course I'll make @CAPS18 some."" @PERSON1 and I sat downstairs waiting anxiously for our hot chocolate by the heater to get warm.   ""@CAPS5's ready!"" @CAPS11 mom called from upstairs. We quickly flew down the hall and rushed up the stairs. To our amazement, we found not only hot chocolate but a bag of chips as well. ""@CAPS14, mom!"" I exclaimed. ""@CAPS14, @CAPS16, @CAPS17!"" said @PERSON1. ""@CAPS18're welcome, boys,"" said @CAPS11 mom.   @PERSON1 and I sat down at the table and started drinking our hot chocolate, while @CAPS11 mom put some chips on paper towels for us. I started eating the chips by the handfuls, whereas @PERSON1 grabbed just one. I asked him, ""@CAPS19, did @CAPS18 only grab one, @PERSON1?"" From the corner of his eye, @CAPS34 looked at me and slowly brought the chip to his mouth and took a bite. As he did that, I fell out of @CAPS11 chair in a fit of hysterical laughter.   @CAPS11 mom heard the thump of me hitting the floor and ran upstairs to find me laughing. ""@CAPS1's @CAPS9 funny?"" she asked. I said to @PERSON1, ""@CAPS22 her."" @PERSON1 then complied and grabbed another chip. While looking at her from the corner of his eye, he slowly brought it to his mouth and took a bite. I started busting up laughing again, yet @CAPS11 mom didn't see the humor. She simply asked, ""@CAPS23, is that @CAPS9 funny?"" @PERSON1 replied, ""I have no idea, but @CAPS34 just about died from laughter."" I started to stop laughing and was able to stand up again. I then told @CAPS11 mom, ""@CAPS5's the way @CAPS34 looks at @CAPS18. @CAPS5 just makes @CAPS18 laugh.""   I then attempted to do the same thing, but with no effect on @PERSON1. ""@CAPS19, isn't @CAPS5 working?"" I asked. ""@CAPS26, I'm awesome like that. @CAPS3, @CAPS18're @NUM2,"" he said. ""@CAPS6, @CAPS28, I'm gonna keep at @CAPS5 until I get @CAPS5 right."" So I tried to mimic everything I saw him do, but to no avail. All I managed to do was spill @CAPS11 hot chocolate all over myself, which made him laugh, albeit not the way I wanted to. ""@CAPS18 want me to @CAPS22 @CAPS18?"" @PERSON1 offered. ""@CAPS31!!!! Please!"" I begged. ""@CAPS6, @CAPS33't say I didn't warn @CAPS18."" @CAPS34 then proceeded to grab another chip and while looking at me from the corner of his eye, he bit the chip. I started laughing uncontrollably and without pause. After about @NUM1 minutes, I stopped laughing.   ""I'll get that right!"" I declared. @PERSON1 said, ""@CAPS35 @CAPS5."" I grabbed a chip, looked straight at him, and bit down, but nothing happened. I tried again, this time while looking at him from the corner of @CAPS11 eye, but still nothing. I thought to myself, ""@CAPS36, if I @CAPS33't get @CAPS5 this time, I'm giving up."" ""@CAPS6, here goes."" I grabbed a chip and slowly brought it to @CAPS11 mouth while squinting at him from the corner of @CAPS11 eye. I bit the chip, and to my delight, I noticed @CAPS34 was laughing. @CAPS34's laughing!!! ""I told @CAPS18 I'd get @CAPS5!"" "" @CAPS31, @CAPS31, @CAPS18 did."" This is one of the many times laughter brought @CAPS11 cousin @PERSON1 and me together."
7	20723	8	3	"My best friend, @PERSON1 and I have been close ever since we were @NUM1 years old. We met through @CAPS1 @CAPS2 lessons at our local, friendly dance studio. The studio had a warm and inviting atmosphere, filled with the sounds of music and laughter. We've stayed close throughout the years because we've always engaged in similar activities, like going to movies and trying out new cafes.   We're very different from each other though. I'm more outgoing, always eager to speak my mind and carefree in my approach to life. @CAPS4, on the other hand, is very conservative and can take things too seriously. But either way, we manage to even each other out, like two sides of a well - balanced coin.   Finals week had just gotten over, and @LOCATION1 and I had been excitedly planning a sleepover all week. We just needed time to relax and have some quality time to ourselves, away from the stress of exams. When I had gotten home from school, I gave her a quick call. ""@CAPS3?"" @CAPS4 answered cheerfully. ""@CAPS5, @CAPS12 time did @CAPS16 wanna hang out?"" I asked. ""I was thinking @NUM2?"" ""@CAPS6, good!"" I quickly hung up the phone and gathered up my gear. I carefully grabbed my toothbrush, a soft pillow, comfortable pajamas, and a warm blanket. I put my shoes on and headed back out the door.   My dad dropped me off with all of my gear. I had brought my cozy pajamas, my fluffy pillow, and an extra soft blanket. I walked up her sidewalk to her door, knocked gently, and waited patiently. Only seconds later did @CAPS4 answer it with a big, beaming smile across her face. @CAPS4 led me down to her basement where @CAPS4 had all the junk food set out, neatly arranged and ready for us to attack. @CAPS4 had gone to the store earlier that day and had carefully bought everything we loved. @CAPS4 had set it all up on her old pool table that nobody used. There were all kinds of chips, delicious cookies, fizzy sodas, colorful candy, rich chocolate, and a mouth - watering pizza.   I set my stuff down on the chair in the corner of the room and we feasted. Of course, we couldn't eat all the food. We simply weren't big enough. After eating for almost an hour straight, we were stuffed and laid on her basement floor trying to gain composure. We started laughing at silly little things that came up on commercials on her big screen @CAPS7.   Eventually, we got to talking about how each of our finals went. ""I did soo good on all of mine! I'm gonna get ALL A's"" @PERSON1 bragged proudly. @CAPS4 has gotten straight A's every year since middle school. ""I think I did pretty @CAPS8 too, not so sure about a @NUM3 though."" I said as I was laying upside down on the floor, my hair falling towards the ground. ""@CAPS8, we'll just see tomorrow!""   We finally decided to move ourselves over to the couch on the opposite side of the pool table, so we could face the @CAPS7 comfortably. It was already @NUM4 in the @TIME1 and we were still on a sugar high, full of energy and excitement. We switched back and forth from watching some old scary movie, which made us jump and scream, and the top @NUM5 music videos of the week, where we sang along to the catchy tunes.   That had passed some time and before we knew it, it was @NUM2 in the @TIME1. @PERSON1 and I were laying on opposite ends of each other. Occasionally, one of us would get some chips or candy from the table. We grew tired to the point where we couldn't keep our eyes open. No one even had enough energy to turn off the overhead light. We fell asleep fast, dreaming of more fun times together.   When I woke - up the next @TIME1, @PERSON1 wasn't laying across from me anymore. @CAPS4 was sitting in the corner chair where I had set my stuff. I looked at the clock, and it was already @NUM4:30 in the afternoon. I looked back at @LOCATION1, @CAPS4 seemed somewhat upset. I shifted around under my blanket so I could face her. ""@CAPS5..."" I grunted, while I was stretching my tired body. ""@TIME1."" @CAPS4 said abruptly. @CAPS4 was holding a folded piece of paper in her hand. ""@CAPS12's up?"" I asked, sitting up on the couch. @CAPS4 crumpled up the piece of paper and threw it at me. I picked it up from my lap and unfolded it. It was her report card. I scanned down the paper looking at all of her grades. @CAPS4 had received all A's... and one @CAPS13. @CAPS4 had gotten a @CAPS13 in her @CAPS15 class. I looked up from the paper to see her hands covering her face. I walked over to her, kinda amused by how upset @CAPS4 was.   ""@CAPS16 got a @CAPS13... and @CAPS16're crying?"" I asked. @CAPS4 looked up at me quickly. I looked at her with a stupid face, and @CAPS4 busted out laughing. @CAPS4 felt so stupid for crying over @NUM8 @CAPS13. I started laughing too. I knew my grades would be far worse. Heck, I'd be glad to get @CAPS13's. @PERSON1 and I are the perfect best friends. We even each other out. I tell her to lighten up, and @CAPS4 tells me to focus more. @CAPS16 can't take little things like that too seriously, it's just not worth the stress. Sometimes @CAPS16 just gotta relax, and maintain your focus. @CAPS16 have to find your perfect balance of work and play."
8	20724	8	3	Laughter is truly one of life's most precious gifts. It is a really good thing to have in any relationship you are in, whether it's a friendship, a love relationship, or a work relationship. In every type of relationship, laughter acts as a lubricant, making the interactions smoother and more enjoyable. Either way, you need laughter so you don't get so uptight that you become no fun to be around.   Every now and then, somebody around you in your life needs some laughter to cheer them up. People should laugh every day because it has the remarkable ability to make you feel happy even when you are in a really bad mood. When you are feeling suicidal, all you really want is someone to talk to you and make you smile, laugh, and giggle. It really feels good when you laugh with a friend or a significant other. You like to see people smile and laugh, and your friends and family also like to see you laugh here and there once in a while.   So every now and then, take a moment to laugh for once and be happy, even if it is for just a few seconds in your life. Laughter is a major thing to have in your life. It's incredibly nice to laugh and giggle even when life gets you down and is just plain crappy.   Anyone and everyone needs to laugh so they don't become so grouchy and unbearable to be around. So please, for everyone's sake around you and in your life, please laugh. Come on, you know you want to laugh. Ha ha ha. I hope that at least made you smile a little bit.   In any relationship you have or are in, laughter is a major thing you need. Always try to laugh here and there, and you will do just fine in life no matter
9	20725	8	3	I believe that with all people laughter, and having a sense of humor, is something that generally everyone has in common, everyone loves to share with others. Among young teenage girls, laughter is a commodity that is infectious but always wonderful. It's the purest kind of joy we have, it's somethings that brings humans together. It's the beginning and end of friendship and unity. Laughter can ring out and lift the spirits of those that really need it. A simple laugh can make the worst day a little alright. We all know that feeling of dread, and sadness . The kindness, generosity, and good of laughter is one of the few things that are right nowadays. Even in poverty, depression, and oppression the simple joy of laughter can wash away a person's worries for a split second and fill us with utter warmth.  @PERSON1 and I have been the best of friends since we were ten-years-old, and laughter has always been our strongest element. @PERSON1 and I have a knack for making each other burst out in laughter when all we want to do is be angry or just cry. We've decided that apart, we're just a little funny, but with our powers combined we could make anyone laugh. We use that power on each other when we're having bad days, or we simply need some cheering up. I think if it wasn't for laughter we wouldn't even be friends anymore. It really is what brings us together as best friends. We'd be different people. Even if I drifted from her we'd always be cracking jokes, making each others guts hurt, and tearing up from laughing so hard.  My first impression of @PERSON1 was of her stomping down to our neighborhood park to yell at her sister, whom I had been playing with at the time. It would be a very self-explanatory reason of why I didn't like her at first. Luckily, after going to @PERSON1's house with her sister, @PERSON1 and I found that we had many things in common, and we were only four months apart. That childish kind of cajoling held our friendship together, for it was a bit rocky at the beginning. Always fighting, and arguing about things that now, we look back on and laugh at our adolescent stupidity. Either one of us would be popping off with dumb little comments at each other when neither of us wanted to apologize. One time she proceeded to tell me that I couldn't hear her because I had a big bug in my ear. Now we can remind each other of things like that and have a good ole time laughing about it. We were mere @NUM1-year-old's then. Now, almost @NUM2, we rarely fight, but we always laugh and make the best of what we've got with our poking fun. Laughter was definitely the band-aid in the beginning of our rickety friendship. @PERSON1 has a gift to make anything funny at any time. She says the wrong (but hilarious) things, but always at the right time. Laughter is now a necessity between us, it's what keeps our friendship so strong. I think of what the human race would be like if laughter was not a factor in everyday life. Everyone knows that it wasn't a good day if you haven't laughed or let alone smiled. People would be dull, and just unhappy. Laughter heals people from sickness, it gives us the feeling that maybe everything is going to be okay after all. I truly believe that it's healthy for you. With a flip of a switch, laughing can bring within us an ecstatic, and serendipitous feeling. People take it for granted and use it for wrong when it's meant to spread the word of happiness. We're lucky to have a gift of such natural joy. Can anyone even explain, in detail, the feeling laughter truly brings us? I think not. It's like describing the scent of something. You just can't do it. The words aren't there. I think of those poor and miserable people that have forgotten what it feels like to laugh, and it's very sad. I strive to laugh every single day, and make at least one other person laugh. What is a life without a diamond in the rough like laughter? It's no life at all, for laughter will always be your shelter on the pursuit of happiness.
10	20726	8	3	"Laughter, one of life's greatest gifts. Have you ever laughed so hard that you cried? What about laughed so hard you can't breath, or noise no longer escapes from your lips? I am the type of person that can @CAPS6 at something so stupid that when I get done laughing, I don't even know why I started laughing in the first place. I can @CAPS6 so hard that nothing comes out at all! @CAPS1's amazing what laughter can do to a persons heart. The way @CAPS1 makes you feel, the way @CAPS1 makes you act. @CAPS1's so contagious, and @CAPS1 happens all around us everyday. You are never too old for laughter, @CAPS1 happens to the best of us. young or old, @CAPS1 doesn't matter. Laughter has no age limit. One time @CAPS2 @CAPS3 @CAPS4 and I stayed up until three in the @TIME1. We were so delirious, and kooky, we acted like crazy people. Now we have the type of relationship where we can @CAPS6 at almost anything. Literally almost anything... As we were staying up, we drank lots of soda and had sugary foods to fuel us for the night. We made up songs, we danced around @CAPS2 house, and @CAPS1 felt like we laughed for hours! I laughed until tears were flowing out of @CAPS2 eyes, and i couldn't get a breath out of @CAPS2 heaving lungs. When @CAPS1 gets to the silent laughing, @CAPS1's even more funny because that person can't control @CAPS1, and they look so hilarious because there rocking back and forth, with this silly expression upon their face, not making any noise at all. Have you ever just laughed for what feels like a lifetime? How did you feel after that ""lifetime"" of laughter? @CAPS1 almost feels as something as powerful as the sun just warms over your heart and soul. When I @CAPS6 I feel all the happiness and emotion just flow all throughout @CAPS2 entire body. @CAPS1's one of the greatest feelings in the world, I really can't think of a greater feeling than the warmth that laughter brings. @CAPS1's so great when you and a @CAPS3, or group of friends can sit back and enjoy the laughter you share. Even when your feeling down, maybe need some cheering up. You can always depend on a @CAPS6 to pull you through. No matter what mood I'm in, @CAPS5 I hear someone laughing, @CAPS1 is so hard to not join in. Laughing is so contagious! @CAPS1 effects us in our everyday life's. I bet you that, you cannot go one day without hearing someone @CAPS6, or you not laughing yourself. I probably @CAPS6 about five hundred times a day, @CAPS5 not more. I love hearing people @CAPS6, @CAPS1 brightens @CAPS2 mood and also @CAPS2 day. I would most definitely say laughter is very important and beneficial for a relationship. I mean imagine the world without laughter. Boring, right? @CAPS2 advice, @CAPS6 like you heard the funniest thing in the world. @CAPS6 like there is no tomorrow. Who cares @CAPS5 people thinks its dumb. You'll feel much better after you have that tear-induced, hard to breath, silent but oh-so therapeutic @CAPS6. Laughter really is the shortest distance between people!"
