answer_id	Essay_id	Essay_set	Prompt_id	answer
1	14834	6	2	The construction workers encountered numerous challenges when trying to enable dirigibles to dock at the Empire State Building. Safety was a significant concern due to the use of highly flammable hydrogen gas in dirigibles. In the densely - populated area of New York, an explosion of a dirigible could cause a large number of casualties. Another problem was keeping the dirigible stable so that passengers could disembark while the wind moved the rear of the airship. The only solution was to tie lead weights at the back of the dirigible, but this posed a danger to the people below. Facing these insurmountable obstacles, the workers abandoned the idea and instead created the world's highest soda fountain and tea garden for tourists in the observation area.
2	14835	6	2	From the start, there were numerous problems with allowing dirigibles to dock at a certain height in the air. The Empire State Building was being built in New York City, a densely - populated area. Beneath the mooring mast were other buildings where people lived and worked. An accident during docking could destroy these buildings and endanger the lives of those inside. Moreover, the city streets below were filled with pedestrians. The passage also mentions in paragraphs @NUM2 the stress of a heavy, steel - framed airship mooring at the building's top. The frame needed to be very dense, which the project architects found to be expensive. Other safety issues included high winds that could blow dirigibles off course and the inherent safety risks of dirigibles. The Hindenburg incident is mentioned, and the building owners were worried about such an event occurring over a densely populated area. In conclusion, these multiple problems made it unfeasible to allow dirigibles to dock at the Empire State Building.
3	14836	6	2	The Empire State Building's builders encountered many challenges while attempting to permit dirigibles to dock there. One issue was that the dirigible would be held by a single cable tether, which would put stress on the building's frame. To strengthen the frame, modifications were made to the building's framework, costing over sixty thousand dollars. Another problem was the use of highly flammable hydrogen in dirigibles. Given New York's dense population, this was a major safety hazard. Additionally, the dirigibles needed to be weighted down at the back with lead weights, but this would result in the weights dangling above pedestrians on the street, posing a safety risk. Finally, there was a law against airships flying too low over urban areas, making it illegal for a dirigible to tie up to the building or approach the area. Due to these insurmountable obstacles, the plan to allow dirigibles to dock at the Empire State Building was ultimately abandoned.
4	14837	6	2	In the passage “The Mooring Mast” by Marcia Amidon @CAPS1, the builders of the Empire State Building faced obstacles in enabling dirigibles to dock there. Al Smith, a four - term governor of New York who led the construction efforts after his term, made the tower tall. The building initially stood at 1,250 ft, but after nearly losing the title of the world's tallest tower, he announced that a top or “hat” would be added. The tower was intended for dirigibles that could transport people from New York to New Jersey, and Smith wanted a docking place for them. However, the German dirigible “Hindenburg” was destroyed by fire in Lakehurst, New Jersey, on May 6, 1937. The building owners realized how much worse the accident could have been if it had occurred over New York. In the 1930s, after another dirigible attempted a stunt, the idea was dropped. As a result, the Empire State Building never fulfilled its intended purpose.
5	14838	6	2	The Empire State Building's builders faced multiple obstacles when trying to allow dirigibles to dock. Firstly, there was an existing law against airships flying too low in urban areas, which made it illegal for a dirigible to tie up to the building. Secondly, safety was a major concern. Most dirigibles used highly flammable hydrogen. If a dirigible caught fire over the densely populated area of New York, many people could be injured. Finally, “nature itself” presented an obstacle. The winds at the top of the Empire State Building were constantly changing due to violent air currents. Even when a dirigible was attached to the mooring mast, the back of it would move around dangerously. In the end, these numerous obstacles made it impossible for the workers of the Empire State Building to achieve the goal of allowing dirigibles to dock there.
6	14839	6	2	Soon after its conception, the Empire State Building's mooring mast was bound to fail. Initially, early challenges were overcome with relative ease. For instance, the issue of additional stress on the building's frame due to the weight of the moored airship was resolved through structural modifications to the building's frame. This was an expensive yet straightforward procedure. One of the most significant setbacks to the project was the occurrence of the Hindenburg disaster. The Hindenburg disaster was the primary cause of the decline of airships. Airplanes emerged as a safer, faster, and more popular form of transportation. Moreover, it soon became evident that mooring an airship at 800 feet or higher was not practical. Strong winds prevented the airship from maintaining its course, causing it to be blown erratically around the mast. The final factor that led to the failure of the mooring mast was a law that prohibited airship travel over urban areas. These multiple factors effectively eliminated any possibility of successful airship travel in the future.
7	14840	6	2	The builders of the Empire State Building encountered obstacles when attempting to enable dirigibles to dock there. The architects recognized that they could not install the mooring mast on top of the building without modifying and strengthening the steel frame. The stress from the dirigible's load and wind pressure would add excessive weight to the framework, potentially leading to its collapse. They strengthened the framework from the building's base to its peak before adding the shiny glass and chrome - nickel stainless - steel tower on top. Despite these challenges, the builders successfully achieved their goal. Although the mooring mast is not used as a docking station, it is still regarded as the final element that makes the Empire State Building stand out among all buildings in downtown New York City.
8	14841	6	2	"In the excerpt ""The Mooring Mast"" by Marcia Amidon Lusted, numerous complications arose during the planning and construction of the attempted docking mast. One hurdle was that dirigibles were too heavy, necessitating modifications to the building's metal frame. After repairing the Empire State Building's framework, two trial runs were conducted by the Navy dirigible ""Los Angeles"" and the Goodyear blimp ""Columbia"". The experiment showed that the wind currents physically prevented the blimp from getting close enough to the building to dock. Additionally, an existing law against airships flying too low over urban cities was an insurmountable obstacle. Within a few years of postponing their efforts, airplanes became popular, and dirigibles as a means of transportation were soon forgotten."
9	14842	6	2	The builders faced significant obstacles. They explained that most dirigibles from outside the city used hydrogen, a highly flammable gas. They then informed the city about the Hindenburg disaster in 1937, where a hydrogen - filled airship caught fire. They realized that if such an incident occurred in an urban area, the consequences could be far worse. Another obstacle was the wind. If a dirigible was parked at the mooring mast, the strong wind speeds would cause the blimp to shift, putting stress on the building's steel frame. The most significant obstacle was a passed law stating that no airships could fly too low in urban areas, which prevented blimps from landing there. In the end, these combined obstacles made it impossible for dirigibles to dock at the intended location.
10	14843	6	2	The builders of the Empire State Building had a great idea: to tether dirigibles, or blimps, to the top of the building. However, this idea was fraught with problems. Firstly, blimps were not very sturdy. Strong winds could easily blow dirigibles attempting to dock into the spires of other buildings. Dirigibles also began using hydrogen gas instead of helium. Hydrogen gas is extremely flammable, and even the smallest spark could set the entire blimp on fire. The docking system itself was also problematic. The only way to keep a dirigible level was to hang lead weights off the side. There was a concern that a weight could fall off and land in the densely populated city below, which could have been a disaster. Due to these numerous issues, the plan to tether dirigibles to the Empire State Building was ultimately unfeasible.
